Make,Model,Serial,Station,Location,Azimuth,Method,Dip,Depth,North,East,Scale Factor,Scale Bias,Start Date,End Date
General Electric,Druck PTX-1830,12179470,RFRT,41,0,,0,0,0,0,1.03,0,2022-05-23T01:54:11Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,2504328,WLGT,40,0,,90,0,0,0,1.03,0,2007-03-06T00:00:02Z,2012-05-29T22:55:00Z
General Electric,Druck PTX-1830,2574749,NAPT,40,0,,90,2,0,0,1.03,0,2007-09-12T00:00:00Z,2010-12-14T23:00:00Z
General Electric,Druck PTX-1830,2574760,GIST,40,0,,90,0,0,0,1.03,0,2008-02-12T04:00:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,2574764,NAPT,41,0,,90,2,0,0,1.03,0,2007-09-12T00:00:00Z,2010-12-14T23:00:00Z
General Electric,Druck PTX-1830,2645534,CHIT,40,0,,90,5.46,0,0,1.03,0,2007-12-15T12:00:00Z,2008-11-25T21:08:00Z
General Electric,Druck PTX-1830,2645535,CHIT,41,0,,90,5.46,0,0,1.03,0,2007-12-15T12:00:00Z,2010-02-16T00:00:00Z
General Electric,Druck PTX-1830,2648990,CPIT,40,0,,90,0,0,0,1.03,0,2009-09-16T03:00:00Z,2012-03-25T22:00:00Z
General Electric,Druck PTX-1830,2648993,LOTT,41,0,,0,0,0,0,1.03,0,2008-10-03T06:00:00Z,2018-03-28T02:00:00Z
General Electric,Druck PTX-1830,2648994,LOTT,40,0,,0,0,0,0,1.03,0,2008-10-03T06:00:00Z,2018-03-28T02:00:00Z
General Electric,Druck PTX-1830,2681503,CPIT,41,0,,90,0,0,0,1.03,0,2009-09-16T03:00:00Z,2017-05-10T02:25:00Z
General Electric,Druck PTX-1830,2681518,TAUT,41,0,,90,0,0,0,1.03,0,2008-05-21T02:00:02Z,2010-02-03T23:00:00Z
General Electric,Druck PTX-1830,2683728,TAUT,40,0,,90,0,0,0,1.03,0,2008-05-21T02:00:02Z,2010-02-03T23:00:00Z
General Electric,Druck PTX-1830,2686075,GIST,41,0,,90,0,0,0,1.03,0,2008-02-12T04:00:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,2712264,NCPT,41,0,,0,4,0,0,1.03,0,2008-12-10T06:00:00Z,2011-10-05T22:00:00Z
General Electric,Druck PTX-1830,2722286,NCPT,40,0,,0,4,0,0,1.03,0,2008-12-10T06:00:00Z,2011-10-05T22:00:00Z
General Electric,Druck PTX-1830,2742173,WLGT,41,0,,90,0,0,0,1.03,0,2008-06-06T04:00:00Z,2012-05-29T22:55:00Z
General Electric,Druck PTX-1830,2933712,CHIT,41,0,,90,0,0,0,1.03,0,2010-02-19T00:00:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,2933713,RBCT,40,0,,0,0,0,0,1.03,0,2009-05-18T00:00:04Z,2010-10-26T22:00:00Z
General Electric,Druck PTX-1830,2933717,RBCT,41,0,,0,0,0,0,1.03,0,2009-05-18T00:00:04Z,2010-10-26T22:00:00Z
General Electric,Druck PTX-1830,2933719,RFRT,41,0,,0,0,0,0,1.03,0,2009-05-18T00:00:04Z,2010-10-27T02:00:00Z
General Electric,Druck PTX-1830,2933720,RFRT,40,0,,0,0,0,0,1.03,0,2009-05-18T00:00:04Z,2010-10-27T02:00:00Z
General Electric,Druck PTX-1830,2945426,AUCT,40,0,,90,0,0,0,1.03,0,2009-03-26T02:30:00Z,2012-08-28T01:00:00Z
General Electric,Druck PTX-1830,2945427,AUCT,41,0,,90,0,0,0,1.03,0,2009-03-26T02:30:00Z,2012-08-28T04:00:00Z
General Electric,Druck PTX-1830,2954239,CHIT,40,0,,90,0,0,0,1.03,0,2010-02-19T00:00:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,2983303,RFRT,41,0,,0,0,0,0,1.03,0,2021-10-22T01:57:00Z,2022-01-16T20:33:31Z
General Electric,Druck PTX-1830,3022170,OTAT,40,0,,90,7.96,0,0,1.03,0,2010-02-25T01:00:00Z,2019-09-29T22:55:00Z
General Electric,Druck PTX-1830,3022171,OTAT,41,0,,90,7.96,0,0,1.03,0,2010-02-25T01:00:00Z,2019-09-29T22:55:00Z
General Electric,Druck PTX-1830,3028740,PUYT,40,0,,0,0,0,0,1.03,0,2009-11-28T00:00:00Z,2019-02-20T06:10:00Z
General Electric,Druck PTX-1830,3028741,PUYT,41,0,,0,0,0,0,1.03,0,2009-11-28T00:00:00Z,2019-02-20T06:10:00Z
General Electric,Druck PTX-1830,3047397,TAUT,40,0,,90,0,0,0,1.03,0,2010-02-04T02:00:00Z,2020-05-22T02:37:00Z
General Electric,Druck PTX-1830,3047398,TAUT,41,0,,90,0,0,0,1.03,0,2010-02-04T02:00:00Z,2020-05-22T02:37:00Z
General Electric,Druck PTX-1830,3116044,GBIT,40,0,,0,0,0,0,1.03,0,2010-07-26T00:00:00Z,2017-12-12T02:44:00Z
General Electric,Druck PTX-1830,3121351,KAIT,40,0,,90,5.205,0,0,1.03,0,2010-05-27T01:30:00Z,2018-03-07T20:50:00Z
General Electric,Druck PTX-1830,3121352,KAIT,41,0,,90,5.205,0,0,1.03,0,2010-05-27T01:30:00Z,2018-03-07T20:50:00Z
General Electric,Druck PTX-1830,3126134,SUMT,40,0,,90,0,0,0,1.03,0,2010-08-10T23:30:00Z,2022-03-31T20:00:00Z
General Electric,Druck PTX-1830,3126136,GBIT,41,0,,0,0,0,0,1.03,0,2010-07-26T00:00:00Z,2017-12-12T02:44:00Z
General Electric,Druck PTX-1830,3126137,SUMT,41,0,,90,0,0,0,1.03,0,2010-08-10T23:30:00Z,2022-03-31T20:00:00Z
General Electric,Druck PTX-1830,3133806,RFRT,40,0,,60,0,0,0,1.03,0,2010-10-30T00:00:00Z,2011-11-08T00:00:00Z
General Electric,Druck PTX-1830,3133809,NCPT,41,0,,0,0,0,0,1.03,0,2011-10-06T03:00:00Z,2018-07-17T21:10:00Z
General Electric,Druck PTX-1830,3133814,RFRT,41,0,,60,0,0,0,1.03,0,2010-10-30T00:00:00Z,2011-11-08T00:00:00Z
General Electric,Druck PTX-1830,3133818,MNKT,40,0,,0,0,0,0,1.03,0,2010-07-15T03:00:00Z,2018-10-01T19:10:00Z
General Electric,Druck PTX-1830,3133822,MNKT,41,0,,0,0,0,0,1.03,0,2010-07-15T03:00:00Z,2018-10-01T19:10:00Z
General Electric,Druck PTX-1830,3133827,NCPT,40,0,,0,0,0,0,1.03,0,2011-10-06T03:00:00Z,2018-07-17T21:10:00Z
General Electric,Druck PTX-1830,3136137,NAPT,40,0,,90,5.969,0,0,1.03,0,2010-12-15T05:00:00Z,2018-04-10T03:00:00Z
General Electric,Druck PTX-1830,3136140,NAPT,41,0,,90,5.969,0,0,1.03,0,2010-12-15T05:00:00Z,2018-04-10T03:00:00Z
General Electric,Druck PTX-1830,3140384,KAIT,40,0,,90,5.205,0,0,1.03,0,2018-03-07T21:00:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,3150040,RBCT,41,0,,90,0,0,0,1.03,0,2010-10-27T03:00:00Z,2018-03-04T22:00:00Z
General Electric,Druck PTX-1830,3150041,RBCT,40,0,,90,0,0,0,1.03,0,2010-10-27T03:00:00Z,2018-03-04T22:00:00Z
General Electric,Druck PTX-1830,3292452,RFRT,41,0,,90,0,0,0,1.03,0,2011-11-09T00:00:00Z,2021-10-20T22:13:00Z
General Electric,Druck PTX-1830,3292453,RFRT,40,0,,90,0,0,0,1.03,0,2011-11-09T00:00:00Z,2021-10-20T22:13:00Z
General Electric,Druck PTX-1830,3292459,AUCT,41,0,,90,0,0,0,1.03,0,2012-12-07T01:00:00Z,2023-03-29T20:13:07Z
General Electric,Druck PTX-1830,3501234,KAIT,41,0,,90,5.205,0,0,1.03,0,2018-03-07T21:00:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,3501237,PUYT,41,0,,0,0,0,0,1.03,0,2019-02-20T06:20:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,3562509,AUCT,41,0,,90,0,0,0,1.03,0,2012-08-28T04:00:01Z,2012-12-07T00:00:00Z
General Electric,Druck PTX-1830,3562510,WLGT,41,0,,90,0,0,0,1.03,0,2012-05-30T00:00:00Z,2018-02-19T00:00:00Z
General Electric,Druck PTX-1830,3562511,AUCT,40,0,,90,0,0,0,1.03,0,2012-08-28T01:00:01Z,2023-03-29T20:13:07Z
General Electric,Druck PTX-1830,3562512,CPIT,40,0,,90,0,0,0,1.03,0,2012-03-28T00:00:00Z,2017-05-10T02:25:00Z
General Electric,Druck PTX-1830,3562513,WLGT,40,0,,90,0,0,0,1.03,0,2012-05-30T00:00:00Z,2018-02-19T00:00:00Z
General Electric,Druck PTX-1830,3964175,CHST,41,0,,90,0,0,0,1.03,0,2015-06-24T00:00:00Z,2021-06-16T20:51:00Z
General Electric,Druck PTX-1830,3964177,WLGT,41,0,,90,0,0,0,1.03,0,2018-02-20T00:00:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,3964178,WLGT,40,0,,90,0,0,0,1.03,0,2018-02-20T00:00:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,3964188,CHST,40,0,,90,0,0,0,1.03,0,2015-06-24T00:00:00Z,2021-06-16T20:51:00Z
General Electric,Druck PTX-1830-LAND,2722283,EDAS,49,0,,0,9.2,0,0,1,0,2008-06-11T01:00:00Z,2015-06-22T23:00:00Z
General Electric,Druck PTX-1830-LAND,2933712L,GLKZ,40,0,,0,0,0,0,1,0,2009-05-19T00:00:00Z,2019-09-20T23:20:00Z
General Electric,Druck PTX-1830-LAND,3133823,GLKZ,40,0,,0,0,0,0,1,0,2019-09-21T00:50:00Z,2023-01-30T20:17:32Z
General Electric,Druck PTX-1830-LAND,3962014,HRMT,40,0,,0,0,0,0,1,0,2022-12-22T00:31:15Z,9999-01-01T00:00:00Z
